timestamp,global_temperature_anomaly_C
2018-04,0.88
2018-05,0.81
2018-06,0.77
2018-07,0.83
2018-08,0.78
2018-09,0.8
2018-10,1.02
2018-11,0.83
2018-12,0.92
2019-01,0.93
2019-02,0.95
2019-03,1.17
2019-04,1
2019-05,0.86
2019-06,0.9
2019-07,0.94
2019-08,0.95
2019-09,0.93
2019-10,1
2019-11,0.99
2019-12,1.11
2020-01,1.18
2020-02,1.24
2020-03,1.18
2020-04,1.12
2020-05,0.99
2020-06,0.91
2020-07,0.89
2020-08,0.86
2020-09,0.96
2020-10,0.87
2020-11,1.08
2020-12,0.8
2021-01,0.81
2021-02,0.64
2021-03,0.89
2021-04,0.76
2021-05,0.79
2021-06,0.85
2021-07,0.92
2021-08,0.81
2021-09,0.92
2021-10,0.98
2021-11,0.92
2021-12,0.88
2022-01,0.91
2022-02,0.89
2022-03,1.04
2022-04,0.83
2022-05,0.84
2022-06,0.92
2022-07,0.94
2022-08,0.94
2022-09,0.88
2022-10,0.97
2022-11,0.73
2022-12,0.8
2023-01,0.87
2023-02,0.96
2023-03,1.23
2023-04,0.98
2023-05,0.94
2023-06,1.08
2023-07,1.19
2023-08,1.19
2023-09,1.48
2023-10,1.34
2023-11,1.4
2023-12,1.35
2024-01,1.25
2024-02,1.44
2024-03,1.39
2024-04,1.31
2024-05,1.16
2024-06,1.23
2024-07,1.2
2024-08,1.3
2024-09,1.21
2024-10,1.35
2024-11,1.3
2024-12,1.27
2025-01,1.38
2025-02,1.26
2025-03,1.37
2025-04,1.24
2025-05,1.08
2025-06,1.07
2025-07,1.02
2025-08,1.18
2025-09,1.25
2025-10,1.19
2025-11,1.21
2025-12,1.06
2026-01,1.08
2026-02,1.24
2026-03,1.32
2026-04,1.17
2026-05,1.13
2026-06,1.18
2026-07,1.23
